Company Name,Industry,Sub-Industry,City,Suburb,Province,Website,Public Business Email,Public Business Phone,LinkedIn,Employee Count,Employee Count Source,Business Size,Technology Dependence,Likely IT Environment,Potential IT Pain Points,Cloud2Tech Services Relevant,Recommended Package,Prospect Score,Priority,Reason for Score,Source,Source URL,Research Date,Outreach Status,Notes
Werksmans Attorneys,Legal,Law Firm,Sandton,,Gauteng,https://www.werksmans.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft 365, cybersecurity hardening, backup",Essential Managed IT (Support + Endpoint + Security Baseline),65,B,Sector fit=law; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.werksmans.com/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Cure Day Clinics Midstream,Medical,Day Clinic,Centurion,Midstream,Gauteng,https://www.cure.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, secure access, backup, cybersecurity monitoring",Essential Managed IT (Support + Endpoint + Security Baseline),65,B,Sector fit=medical; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.cure.co.za/day-hospitals/midstream,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Smith and Smith Attorneys,Legal,Law Firm,Randburg,Randpark Ridge,Gauteng,https://www.smithlaw.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft 365, cybersecurity hardening, backup",Essential Managed IT (Support + Endpoint + Security Baseline),65,B,Sector fit=law; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.smithlaw.co.za/contact,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
DAV Professional Placement Group,Professional Services,Recruitment,Johannesburg,,Gauteng,https://www.dav.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.dav.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Primeserv Group,Professional Services,Recruitment,Johannesburg,Rosebank,Gauteng,https://www.primeserv.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.primeserv.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Drake International South Africa,Professional Services,Recruitment,Johannesburg,Parktown,Gauteng,https://za.drakeintl.com,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://za.drakeintl.com/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Phaki Personnel Management Services,Professional Services,Recruitment,Pretoria,,Gauteng,https://www.phakipersonnel.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.phakipersonnel.co.za/contact-us/,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Quest Staffing Solutions,Professional Services,Recruitment,Johannesburg,Gallo Manor,Gauteng,https://quest.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/139126/quest-staffing-solutions-johannesburg,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Measured Ability Staffing (MASA),Professional Services,Recruitment,Johannesburg,Houghton Estate,Gauteng,https://measuredability.com,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/138363/measured-ability,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
Robert Walters Johannesburg,Professional Services,Recruitment,Sandton,,Gauteng,https://www.robertwalters.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.yellosa.co.za/company/138346/robert-walters-johannesburg,2026-09-09,Tier A Target - Verify,Top-50 seed; verify decision maker and direct contacts before outreach. Tier A profile match: sector fit and SME-leaning service model; verify 5-50 employees and Microsoft 365 usage.
