Company Name,Industry,Sub-Industry,City,Suburb,Province,Website,Public Business Email,Public Business Phone,LinkedIn,Employee Count,Employee Count Source,Business Size,Technology Dependence,Likely IT Environment,Potential IT Pain Points,Cloud2Tech Services Relevant,Recommended Package,Prospect Score,Priority,Reason for Score,Source,Source URL,Research Date,Outreach Status,Notes
Werksmans Attorneys,Legal,Law Firm,Sandton,,Gauteng,https://www.werksmans.com,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft 365, cybersecurity hardening, backup",Essential Managed IT (Support + Endpoint + Security Baseline),65,B,Sector fit=law; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.werksmans.com/contact-us/,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 1. Messaging Priority: Data confidentiality and compliance-first managed IT.
Netcare Rosebank Hospital,Medical,Hospital/Clinic,Johannesburg,Rosebank,Gauteng,https://www.netcare.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, secure access, backup, cybersecurity monitoring",Essential Managed IT (Support + Endpoint + Security Baseline),65,B,Sector fit=medical; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.netcare.co.za/Hospital/netcare-rosebank-hospital,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 2. Messaging Priority: Secure patient systems uptime, backup, and endpoint protection."
Cure Day Clinics Midstream,Medical,Day Clinic,Centurion,Midstream,Gauteng,https://www.cure.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, secure access, backup, cybersecurity monitoring",Essential Managed IT (Support + Endpoint + Security Baseline),65,B,Sector fit=medical; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.cure.co.za/day-hospitals/midstream,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 3. Messaging Priority: Secure patient systems uptime, backup, and endpoint protection."
Smith and Smith Attorneys,Legal,Law Firm,Randburg,Randpark Ridge,Gauteng,https://www.smithlaw.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft 365, cybersecurity hardening, backup",Essential Managed IT (Support + Endpoint + Security Baseline),65,B,Sector fit=law; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.smithlaw.co.za/contact,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 4. Messaging Priority: Data confidentiality and compliance-first managed IT.
BDO South Africa,Financial/Professional Services,Accounting,Johannesburg,,Gauteng,https://www.bdo.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, Microsoft 365 management, endpoint security, backup",Essential Managed IT (Support + Endpoint + Security Baseline),64,B,Sector fit=accounting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.bdo.co.za/en-za/offices/johannesburg,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 5. Messaging Priority: Microsoft 365 security, backup resilience, and user support."
Mazars South Africa,Financial/Professional Services,Accounting and Audit,Johannesburg,Hyde Park,Gauteng,https://www.mazars.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, Microsoft 365 management, endpoint security, backup",Essential Managed IT (Support + Endpoint + Security Baseline),64,B,Sector fit=accounting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.mazars.co.za/Home/About-us/Our-offices/Hyde-Park,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 6. Messaging Priority: Microsoft 365 security, backup resilience, and user support."
Grant Thornton Johannesburg,Financial/Professional Services,Accounting and Audit,Johannesburg,Illovo,Gauteng,https://www.grantthornton.co.za,,,,Unknown,Unknown,Unknown,High,Unknown,Unknown,"Managed IT, Microsoft 365 management, endpoint security, backup",Essential Managed IT (Support + Endpoint + Security Baseline),64,B,Sector fit=accounting; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.grantthornton.co.za/contact-us/,2026-09-09,Ready - Wave 1,"Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 7. Messaging Priority: Microsoft 365 security, backup resilience, and user support."
DAV Professional Placement Group,Professional Services,Recruitment,Johannesburg,,Gauteng,https://www.dav.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.dav.co.za/contact-us/,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 8. Messaging Priority: Secure collaboration and endpoint management for high-turnover teams.
Primeserv Group,Professional Services,Recruitment,Johannesburg,Rosebank,Gauteng,https://www.primeserv.co.za,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://www.primeserv.co.za/contact-us/,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 9. Messaging Priority: Secure collaboration and endpoint management for high-turnover teams.
Drake International South Africa,Professional Services,Recruitment,Johannesburg,Parktown,Gauteng,https://za.drakeintl.com,,,,Unknown,Unknown,Unknown,Medium-High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,59,C,Sector fit=recruitment; business size signal='Unknown'; website=yes; score derived from reproducible weighted model.,Official website or public business directory,https://za.drakeintl.com/contact-us/,2026-09-09,Ready - Wave 1,Top-50 seed; verify decision maker and direct contacts before outreach. Outreach Rank: 10. Messaging Priority: Secure collaboration and endpoint management for high-turnover teams.
