Company Name,Industry,Sub-Industry,City,Suburb,Province,Website,Public Business Email,Public Business Phone,LinkedIn,Employee Count,Employee Count Source,Business Size,Technology Dependence,Likely IT Environment,Potential IT Pain Points,Cloud2Tech Services Relevant,Recommended Package,Prospect Score,Priority,Reason for Score,Source,Source URL,Research Date,Outreach Status,Notes
Yoanda Consulting,Consulting Services,Business Consulting,Sandton,,Gauteng,https://yoanda.co.za/,,,,5-20,ReadyContacts public listing,5-30 (public range),High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Essential Managed IT (Support + Endpoint + Security Baseline),61,B,Sector fit=consulting; business size signal='5-30 (public range)'; website=yes; score derived from reproducible weighted model.,ReadyContacts,https://www.readycontacts.com/companies-in/gauteng-south-africa/,2026-09-09,Not Contacted,Employee range explicitly listed by public directory.
Cx Credibility Sa,Professional Services,Customer Experience Consulting,Johannesburg,,Gauteng,https://cxcredibilitysa.co.za/,,,,6-15,ReadyContacts public listing,5-30 (public range),High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Essential Managed IT (Support + Endpoint + Security Baseline),61,B,Sector fit=consulting; business size signal='5-30 (public range)'; website=yes; score derived from reproducible weighted model.,ReadyContacts,https://www.readycontacts.com/companies-in/gauteng-south-africa/,2026-09-09,Not Contacted,Employee range explicitly listed by public directory.
Bantom Accounting and Taxation Services,Financial/Professional Services,Accounting and Tax,Johannesburg,,Gauteng,,,,,5-10,Serv listing (public profile range),5-30 (public range),High,Unknown,Unknown,"Managed IT, Microsoft 365 management, endpoint security, backup",Essential Managed IT (Support + Endpoint + Security Baseline),62,B,Sector fit=accounting; business size signal='5-30 (public range)'; website=no; score derived from reproducible weighted model.,Serv,https://www.serv.co.za/listing/bantom-accounting-and-taxation-services-johannesburg,2026-09-09,Not Contacted,Employee range explicitly listed by public directory.
SinaM Business Solutions (PTY LTD),Consulting Services,Business Services,Johannesburg,,Gauteng,,,,,5-20,Serv listing (public profile range),5-30 (public range),High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,53,C,Sector fit=consulting; business size signal='5-30 (public range)'; website=no; score derived from reproducible weighted model.,Serv,https://www.serv.co.za/listing/sinam-business-solutions-pty-ltd-johannesburg,2026-09-09,Not Contacted,Employee range explicitly listed by public directory.
Moagi Payroll Services,Financial/Professional Services,Payroll Services,Johannesburg,,Gauteng,,,,,5-9,Serv listing (public profile range),5-30 (public range),High,Unknown,Unknown,"Managed IT, Microsoft 365, endpoint security, compliance-aware controls",Essential Managed IT (Support + Endpoint + Security Baseline),62,B,Sector fit=financial; business size signal='5-30 (public range)'; website=no; score derived from reproducible weighted model.,Serv,https://www.serv.co.za/listing/moagi-payroll-services-johannesburg,2026-09-09,Not Contacted,Employee range explicitly listed by public directory.
Intelli-Group Business Consultancy,Consulting Services,Business Consultancy,Johannesburg,,Gauteng,,,,,5-25,Serv listing (public profile range),5-30 (public range),High,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,53,C,Sector fit=consulting; business size signal='5-30 (public range)'; website=no; score derived from reproducible weighted model.,Serv,https://www.serv.co.za/listing/intelli-group-business-consultancy-johannesburg,2026-09-09,Not Contacted,Employee range explicitly listed by public directory.
UKHOZI MWEUSI,Construction,Air Conditioning Services,Midrand,,Gauteng,,,,,2-10,Serv listing (public profile range),2-10 (overlaps target 5-30),Medium,Unknown,Unknown,"Managed IT, endpoint management, Microsoft/cloud services, infrastructure support, cybersecurity",Discovery & Security Baseline Assessment,52,C,Sector fit=construction; business size signal='2-10 (overlaps target 5-30)'; website=no; score derived from reproducible weighted model.,Serv,https://serv.co.za/company/ukhozi-mweusi,2026-09-09,Not Contacted,Employee range overlaps requested 5-30 segment.
Analytiq Incorporated,Financial/Professional Services,Financial and Tax Advisory,Alberton,,Gauteng,,,,,2-10,Serv listing (public profile range),2-10 (overlaps target 5-30),High,Unknown,Unknown,"Managed IT, Microsoft 365, endpoint security, compliance-aware controls",Essential Managed IT (Support + Endpoint + Security Baseline),62,B,Sector fit=financial; business size signal='2-10 (overlaps target 5-30)'; website=no; score derived from reproducible weighted model.,Serv,https://www.serv.co.za/listing/analytiq-incorporated-alberton,2026-09-09,Not Contacted,Employee range overlaps requested 5-30 segment.
JJT Accountants & Auditors,Financial/Professional Services,Accounting and Audit,Kempton Park,,Gauteng,,,,,2-10,Serv listing (public profile range),2-10 (overlaps target 5-30),High,Unknown,Unknown,"Managed IT, Microsoft 365 management, endpoint security, backup",Essential Managed IT (Support + Endpoint + Security Baseline),62,B,Sector fit=accounting; business size signal='2-10 (overlaps target 5-30)'; website=no; score derived from reproducible weighted model.,Serv,https://www.serv.co.za/listing/jjt-accountants-auditors-kempton-park,2026-09-09,Not Contacted,Employee range overlaps requested 5-30 segment.
Real Easy Accounting Solutions,Financial/Professional Services,Accounting,Springs,,Gauteng,,,,,1-10,Serv listing (public profile range),1-10 (overlaps target 5-30),High,Unknown,Unknown,"Managed IT, Microsoft 365 management, endpoint security, backup",Essential Managed IT (Support + Endpoint + Security Baseline),62,B,Sector fit=accounting; business size signal='1-10 (overlaps target 5-30)'; website=no; score derived from reproducible weighted model.,Serv,https://www.serv.co.za/listing/real-easy-accounting-solutions-springs,2026-09-09,Not Contacted,Employee range overlaps requested 5-30 segment.
